"County","State","Years_of_Potential_Life_Lost_Rate","Fair_Poor","Physically_Unhealthy_Days","Mentally_Unhealthy_Days","LBW","Smokers","Obese","Food_Environment_Index","Physically_Inactive","With_Access","Excessive_Drinking","Alcohol_Impaired","Chlamydia_Rate","Teen_Birth_Rate","Uninsured","PCP_Rate","Dentist_Rate","MHP_Rate","Preventable_Hosp__Rate","Screened","Vaccinated","Graduation_Rate","Population_25_44","Some_College","Unemployed","Children_in_Poverty","Income_Ratio","Single_Parent_Households","Association_Rate","Violent_Crime_Rate","Injury_Death_Rate","Average_Daily_PM2_5","Presence_of_violation","Severe_Housing_Problems","Drive_Alone","Long_Commute_Drives_Alone"
"Pennington_South Dakota","South Dakota",7506.3086512,12.981007969,3.3559761905,3.1585497174,6.8609022556,15.46540445,26.3,8,18.2,94.548678528,18.67358815,30.769230769,576.8,35.311866484,10.373303931,85.0309,84.43722,263.29886,3800,46,46,78.401132844,27445,69.247586081,3.3949398887,16.6,4.076964657,36.092834071,13.623230809,561.73044312,75.246487575,5.5,"Yes",13.534917207,83.034164358,10.9
"Perkins_South Dakota","South Dakota",7286.2446695,11.443118195,3.0583195718,2.8327277669,5.3278688525,14.462295471,29.8,7.1,21.1,70.523138833,18.588899515,100,191.5,17.850263259,13.809946714,78.00312,33.62475,201.74849,5793,42,18,92.105263158,573,70.855148342,2.9666254635,18.8,4.1435267349,19.138755981,36.875628562,16.46090535,73.109131995,4.9,"No",8.8122605364,60.583941606,15.3
"Potter_South Dakota","South Dakota",7520.7139447,10.50327189,2.8467746821,2.6712353456,5.5715658021,12.778886043,28.5,6.1,22.6,57.535422928,17.406250075,0,209.7,22.687153347,9.8942128189,94.69697,44.82295,44.82295,5663,45,27,90.321935484,397,60.957178841,3.4240561896,14.2,3.7068972172,29.102844639,30.448020879,0,129.48895028,5.4,"No",6.63507109,79.012345679,15.4
"Roberts_South Dakota","South Dakota",10718.518465,16.220182674,3.9795172013,3.4586823148,4.8722044728,21.047128966,32.4,7.3,26.6,33.550103458,17.767678973,40,1163.8,58.205335489,18.017795353,39.00536,58.37712,77.83615,5295,55,27,82.556046512,1965,58.880407125,4.8420615129,25.4,4.184559096,53.363541304,15.602145295,126.25036418,137.9471138,5.8,"No",10.821917808,76.639529625,17.5
"Sanborn_South Dakota","South Dakota",6918.9048839,10.358787938,2.7463108845,2.6013373373,5.4166666667,14.166293678,32.9,6.4,24.6,28.874734607,19.491982125,25,160.9,38.25136612,9.175257732,14.38849,0,32.86231,8006,43,37,96.294444444,490,65.918367347,3.5223367698,21.8,3.7052006268,24.489795918,4.1736227045,340.42553191,94.811239441,6.3,"Yes",6.0747663551,74.822415154,34.9
"Spink_South Dakota","South Dakota",8516.8145674,11.199300242,2.9815408525,2.7790406885,6.0329067642,15.21389738,36.5,7.7,24.9,47.872174591,19.261206787,75,107.3,15.30967293,10.131445905,31.15265,62.4025,46.80187,8199,54,25,90.478412698,1303,66.155026861,3.4707158351,15.5,3.3896201323,29.325920778,26.479750779,22.725551095,92.131932928,5.9,"Yes",8.3650190114,76.937558833,23.4
"Stanley_South Dakota","South Dakota",6267.5195214,9.0544143986,2.6241430191,2.606280744,5.2044609665,13.523593481,32.5,8.7,21.6,85.569790964,20.454248107,0,372.4,22.222222222,9.1468416735,66.82259,33.21156,33.21156,1234,57,53,93.33,685,56.058394161,3.3279656468,10.5,3.1938015512,32.656023222,26.729034414,135.02109705,73.716659965,5.2,"No",9.0551181102,76.83908046,8.7
"Sully_South Dakota","South Dakota",10844.859361,9.5557291733,2.6022310442,2.5541686931,6.0524546066,13.358636756,33.5,7.7,21.2,5.6809905317,20.147987875,50,338.4,17.986855759,10.896309315,0,0,139.27577,2403,62,37,95.83,242,80.165289256,3.1952662722,8.2,3.5254844338,19.939577039,28.149190711,34.626038781,207.68431983,5.4,"No",6.4516129032,68.551724138,19.9
"Todd_South Dakota","South Dakota",22123.700268,29.908730467,5.9036610107,4.9333353785,8.0062794349,39.079702758,38.6,5.1,25.2,51.872659176,15.622656392,40,2018.3,110.23622047,16.948579161,9.84737,19.87084,49.6771,9489,19,22,56.41,2377,48.54859066,6.6287878788,55.8,7.5523407426,73.72244489,4.9236829148,533.07305353,201.82642927,5.2,"No",29.798903108,68.484626647,26.9
"Tripp_South Dakota","South Dakota",7457.2245271,13.949627829,3.4682294573,3.1832473161,7.6320939335,16.82768697,34.2,7.5,24.3,58.11481219,17.376628633,50,184,34.645669291,14.881380302,91.04151,91.57509,347.98535,6018,37,30,88.461794872,1018,51.669941061,2.8846153846,26.6,4.7965710518,24.66442953,21.849963583,147.46543779,65.703022339,5.5,"No",11.046511628,76.838365897,9.8
