County;State;Years_of_Potential_Life_Lost_Rate;Fair_Poor;Physically_Unhealthy_Days;Mentally_Unhealthy_Days;LBW;Smokers;With_Access;Excessive_Drinking;Alcohol_Impaired;Chlamydia_Rate;Teen_Birth_Rate;Uninsured;PCP_Rate;Dentist_Rate;MHP_Rate;Preventable_Hosp__Rate;Screened;Vaccinated;Graduation_Rate;Population_25_44;Some_College;Unemployed
Ionia_Michigan;Michigan;5987.6362417;15.690426077;3.8737193558;3.8978139213;7.1077950128;19.074740308;76.657538534;21.652572013;38.235294118;260;28.089480924;6.3706216944;29.58027;40.44112;124.43421;4740;41;33;87.551950207;16728;56.665471066;4.0437487457
Iosco_Michigan;Michigan;9441.3684326;15.68067305;4.1448668675;4.3135428453;6.4039408867;18.386265786;90.76370379;18.551742851;18.181818182;165.7;36.393910561;7.7509387435;55.27698;55.63946;170.89262;2682;50;26;84.285357143;4417;52.524337786;7.5395655166
Iron_Michigan;Michigan;8437.4373357;16.155600208;4.1812176577;4.2463870941;9.7372488408;18.597145226;69.645426081;17.041778376;44.444444444;299.6;25.025025025;6.8956677775;71.46047;44.94786;134.84358;4348;42;40;86.734693878;1903;54.072517078;6.5221561481
Isabella_Michigan;Michigan;6547.1962769;18.505663446;4.6474265553;4.6133331279;7.3054411446;21.114547077;73.807796789;23.133836877;40;345.1;9.5339314182;8.9019470268;49.10075;54.88088;244.85316;4954;43;44;82.97887234;15329;69.828429774;4.5796578643
Jackson_Michigan;Michigan;8405.5941201;15.449898048;3.8606053498;3.9981759176;8.5961955213;19.312535665;72.734137088;21.255377858;30.952380952;572.4;28.1917709;6.0863084388;48.5927;63.0358;255.92537;4349;45;50;82.959019975;38064;61.685582177;4.7299297575
Kalamazoo_Michigan;Michigan;6778.4183967;15.593310081;4.1217090111;3.977850178;7.5629096576;15.221770923;81.932721077;21.820469513;24.342105263;800;22.198150917;6.6169579359;98.22132;67.68447;354.39284;3673;43;52;81.335437578;63850;77.951448708;4.1196635407
Kalkaska_Michigan;Michigan;6756.8420119;15.086530928;4.1563650366;4.3496118562;6.6555740433;19.859076742;73.77135195;20.033816275;25;295.5;29.156327543;7.5803870217;34.75642;28.35432;39.69604;3622;34;33;78.343694268;3882;51.545595054;7.1217759528
Kent_Michigan;Michigan;5794.2561312;12.628678731;3.7608030793;3.7398240664;7.9246807823;16.319287017;92.193282024;23.39579527;28.66894198;524.5;24.664697294;6.9074329986;89.07257;71.07682;313.60142;3925;44;49;83.82693599;175394;70.68941925;3.5321350226
Keweenaw_Michigan;Michigan;7644.5846511;15.573606481;4.1435984017;4.2333315771;4.9467275495;17.391970403;10.204081633;16.686416362;100;322.9;32.251980385;6.7415730337;0;0;78.33084;3321;49;25;76;354;65.254237288;8.7234042553
Lake_Michigan;Michigan;7055.3973094;20.926617714;4.8271947929;4.8013627914;8.9012517385;21.97218591;91.229742612;15.812571882;33.333333333;323.9;41.476985331;8.6745488488;8.69868;74.91884;49.94589;4099;38;32;81.481481481;2084;44.001919386;8.1389183457
Lapeer_Michigan;Michigan;6445.9411371;13.783727613;3.8586405961;4.0001156112;6.828311642;18.309850185;60.618892877;21.963522143;32.075471698;153.9;16.391838332;6.7554247477;35.09169;51.03545;133.8263;5384;38;44;90.631153846;19008;60.642887205;5.370433429
Leelanau_Michigan;Michigan;4723.4154926;12.501746499;3.4457217023;3.8475483708;5.6027164686;13.991290335;54.353233831;18.706953672;18.75;200.2;14.631685166;7.9379681956;36.75626;41.557;46.17445;2580;48;56;83.529411765;3683;69.617159924;4.8991083998
Lenawee_Michigan;Michigan;7089.0827111;16.876476641;4.0445794864;4.1923364324;7.1748878924;19.044514225;74.794778361;20.207639026;23.076923077;269.9;25.783007441;6.2762656612;27.41005;44.61434;211.91811;3156;47;47;89.402192029;22967;60.70448905;4.8012161392
Livingston_Michigan;Michigan;5151.377089;10.899136313;3.4330840825;3.5520411428;6.1675461741;15.328170226;88.727226511;24.735719805;27.472527473;190.1;7.1036777268;3.8918264074;50.8949;61.69227;174.53111;3417;46;53;90.446153199;41240;76.66828322;3.315581854
Luce_Michigan;Michigan;6340.9599524;18.609719209;4.4678689272;4.3325357995;7.967032967;21.112606926;68.270245815;20.141581293;máj.37;124.7;28.735632184;8.567839196;125.82573;47.18465;141.55395;4814;56;12;90;1663;52.61575466;6.9107363225
Mackinac_Michigan;Michigan;9945.3297804;18.919236447;4.4628161051;4.5175775746;7.4074074074;19.281476409;88.517951948;17.678012178;40;220.4;19.138755981;11.69733625;92.42144;84.01792;140.02987;2486;45;24;91.764705882;2014;55.01489573;10.24233245
Macomb_Michigan;Michigan;7557.0693395;14.997799868;3.9925117739;4.1942246644;8.6753414942;19.705915538;93.607561672;21.216258696;29.056603774;346;14.902366652;6.2261749975;54.97102;85.72658;173.4041;6291;39;49;86.068764249;217426;67.937137233;4.2879696302
Manistee_Michigan;Michigan;8079.5247071;15.063809136;3.9728683537;4.1197715385;7.4529667149;18.353426034;89.548376663;18.62713771;23.076923077;224.8;33.770273273;8.0627295517;53.33771;65.50129;122.81492;2965;46;41;55.510326531;4779;56.727348818;6.6424196018
Marquette_Michigan;Michigan;6849.7122007;13.448799857;3.9119023562;4.0958526068;6.8483892769;17.229447309;83.957243168;23.697216389;40;410.6;11.314532636;5.396522889;106.87138;84.20799;321.79483;3162;50;51;84.905608919;15012;70.883293365;5.6952955883
